created_at,updated_at,deleted_at,status,version,city,state,neighborhood,last_date_purchase,average_ticket,items_quantity,all_revenue,all_orders,recency,marketing_source
08/15/17 07:05 AM,01/14/21 11:23 AM,,active,2.31.7, Peixoto da Praia,AM,Aparecida 7ª Seção,01/14/21 11:23 AM,151.142941888541,10,906.857651331245,6,35,crm
12/31/19 09:53 PM,01/08/21 11:23 AM,,paused,3.30.12, Fernandes,RR,Santa Isabel,01/08/21 11:23 AM,236.991789979188,4,236.991789979188,1,41,organic_search
03/07/19 11:46 PM,01/07/21 11:23 AM,,active,3.28.9, Lopes,RR,Estrela,01/07/21 11:23 AM,211.955597446163,13,2331.5115719078,11,42,organic_search
07/21/18 10:17 AM,01/10/21 11:23 AM,,active,3.34.3, Campos do Campo,PE,Confisco,01/10/21 11:23 AM,204.113226530216,8,1224.67935918129,6,39,organic_search
06/08/18 12:09 PM,01/18/21 11:23 AM,,active,3.19.8, das Neves,RJ,Vila Suzana Segunda Seção,01/18/21 11:23 AM,252.94099747406,9,2023.52797979248,8,31,crm
06/09/17 04:33 PM,01/17/21 11:23 AM,,active,4.28.7, Aragão,AM,Vila Maria,01/17/21 11:23 AM,215.477590035546,5,1723.82072028437,8,32,organic_search
05/25/17 08:02 PM,01/14/21 11:23 AM,,active,4.39.6, Lopes,MT,Braúnas,01/14/21 11:23 AM,195.854438681288,10,1566.8355094503,8,35,organic_search
10/17/17 06:53 AM,01/16/21 11:23 AM,,active,3.37.9, Pereira Grande,SC,Bacurau,01/16/21 11:23 AM,216.017706601439,8,864.070826405758,4,33,direct
12/09/17 04:32 AM,01/10/21 11:23 AM,,active,3.12.13, Fernandes Alegre,PR,Piraja,01/10/21 11:23 AM,221.978135305628,8,443.956270611256,2,39,organic_search
10/24/19 09:17 AM,01/05/21 11:23 AM,,active,3.18.6, Cardoso do Sul,MT,Padre Eustáquio,01/05/21 11:23 AM,220.287961479789,7,660.863884439368,3,44,paid_search
05/16/17 12:41 AM,01/15/21 11:23 AM,,active,3.39.2, Barros das Flores,PB,Jardim Guanabara,01/15/21 11:23 AM,210.120474304686,8,1891.08426874217,9,34,none
09/28/17 09:50 AM,01/11/21 11:23 AM,,active,2.27.11, Fernandes de Goiás,RR,Vila Paris,01/11/21 11:23 AM,205.972833001957,7,823.891332007826,4,38,paid_search
12/06/16 08:43 PM,06/17/18 11:59 PM,06/17/18 11:59 PM,canceled,5.31.5, Moreira do Galho,AP,Ipe,07/13/17 06:36 AM,190.017737362342,9,1140.10642417405,6,1316,crm
05/04/19 06:17 PM,01/14/21 11:23 AM,,active,3.29.12, Pinto,SP,Jardim Dos Comerciarios,01/14/21 11:23 AM,211.11154211438,9,1900.00387902942,9,35,organic_search
12/27/19 04:21 AM,01/01/21 11:23 AM,,active,4.27.8, da Cruz Verde,PE,Granja Werneck,01/01/21 11:23 AM,170.226789458238,11,170.226789458238,1,48,organic_search
07/17/16 10:30 AM,01/11/21 11:23 AM,,active,5.22.8, da Mota da Prata,RJ,Vila Independencia 1ª Seção,01/11/21 11:23 AM,239.507793227369,5,1676.55455259158,7,38,crm
03/27/20 04:39 PM,01/12/21 11:23 AM,,active,3.25.15, Aragão da Serra,MG,São João Batista,01/12/21 11:23 AM,233.63372161434,9,2336.3372161434,10,37,paid_search
05/04/20 10:14 PM,01/02/21 11:23 AM,,active,2.37.4, Moraes das Flores,PR,Monsenhor Messias,01/02/21 11:23 AM,215.059697649024,4,1935.53727884121,9,47,organic_search
01/28/18 01:56 PM,01/17/21 11:23 AM,,active,6.23.8, da Rosa,MG,Céu Azul,01/17/21 11:23 AM,203.411009426281,10,0.0,0,32,organic_search
01/01/19 02:47 AM,01/14/21 11:23 AM,,active,4.14.5, Vieira,MA,Dona Clara,01/14/21 11:23 AM,234.989979244226,8,234.989979244226,1,35,crm
08/25/18 03:29 AM,01/11/21 11:23 AM,,active,5.13.12, Nunes,AL,Primeiro De Maio,01/11/21 11:23 AM,225.672774441914,1,1128.36387220957,5,38,paid_search
02/28/19 07:55 AM,01/12/21 11:23 AM,,paused,4.14.10, Araújo da Serra,PI,Túnel De Ibirité,01/12/21 11:23 AM,203.890563538895,14,2242.79619892784,11,37,direct
09/21/17 09:33 AM,12/11/18 04:09 AM,12/11/18 04:09 AM,canceled,2.15.3, Ferreira Alegre,SP,Nossa Senhora De Fátima,11/09/17 05:40 PM,234.207817808963,11,468.415635617926,2,1196,organic_search
09/17/20 12:16 AM,01/13/21 11:23 AM,,active,5.18.12, Viana da Prata,RO,Dona Clara,01/13/21 11:23 AM,249.167856239939,9,1245.83928119969,5,36,organic_search
02/23/16 06:14 AM,01/16/21 11:23 AM,,active,4.33.4, Peixoto,SP,Santa Rita De Cássia,01/16/21 11:23 AM,153.963453073141,14,1693.59798380455,11,33,telegram_whatsapp
12/24/18 06:02 PM,01/20/21 11:23 AM,,active,1.26.9, Moreira de Goiás,AM,Universo,01/20/21 11:23 AM,237.549636075951,7,237.549636075951,1,29,organic_search
10/11/19 10:53 AM,01/20/21 11:23 AM,,active,3.20.6, Peixoto de Costela,PR,Flavio De Oliveira,01/20/21 11:23 AM,208.547827253723,6,834.191309014893,4,29,organic_search
07/17/16 05:37 AM,01/20/21 11:23 AM,,active,4.23.8, da Luz Alegre,AC,Dom Cabral,01/20/21 11:23 AM,217.272851020045,10,1520.90995714031,7,29,direct
12/03/18 12:40 AM,01/17/21 11:23 AM,,active,6.11.2, da Mota Verde,RO,Estoril,01/17/21 11:23 AM,195.512306384609,8,391.024612769218,2,32,paid_search
11/06/16 08:45 PM,01/10/21 11:23 AM,,active,3.22.10, Novaes,MT,Cenaculo,01/10/21 11:23 AM,203.883422246481,5,611.650266739444,3,39,organic_search
06/22/16 12:01 PM,01/12/21 11:23 AM,,active,4.31.6, Ramos,AC,Copacabana,01/12/21 11:23 AM,246.656841831285,9,1726.597892819,7,37,organic_search
08/03/20 01:20 PM,01/01/21 11:23 AM,,active,2.3.5, Dias do Sul,CE,Savassi,01/01/21 11:23 AM,239.596285708951,6,1437.57771425371,6,48,organic_search
12/19/19 12:09 AM,01/06/21 11:23 AM,,active,5.18.6, Castro de Ramos,RN,Vila Madre Gertrudes 3ª Seção,01/06/21 11:23 AM,194.324176304985,4,194.324176304985,1,43,organic_search
09/02/20 06:53 PM,02/14/21 06:19 PM,02/14/21 06:19 PM,canceled,4.22.8, Almeida,MS,Conjunto Floramar,12/24/20 06:42 AM,215.223848233412,10,1076.11924116706,5,56,organic_search
11/12/17 09:52 PM,01/03/21 11:23 AM,,active,4.9.9, Pereira da Mata,PE,Conjunto Capitão Eduardo,01/03/21 11:23 AM,243.957050463866,11,731.871151391597,3,46,organic_search
02/02/19 08:20 PM,01/23/21 11:23 AM,,paused,3.5.4, Correia do Galho,RO,Vila Ouro Minas,01/23/21 11:23 AM,226.218157383166,8,0.0,0,26,paid_search
03/16/20 11:07 PM,01/16/21 11:23 AM,,active,3.26.7, Jesus,RN,Conjunto Paulo Vi,01/16/21 11:23 AM,198.593393922566,3,2184.52733314822,11,33,crm
04/15/19 05:52 PM,01/16/21 11:23 AM,,active,4.6.7, Caldeira de Mendes,AL,Vila Batik,01/16/21 11:23 AM,268.321120484149,10,2683.21120484149,10,33,direct
07/14/20 12:26 PM,01/15/21 11:23 AM,,active,5.5.5, Rezende do Galho,CE,Pompéia,01/15/21 11:23 AM,249.33034971664,2,1745.31244801648,7,34,organic_search
07/21/17 01:51 AM,01/16/21 11:23 AM,,active,4.9.12, Barbosa do Oeste,AL,Senhor Dos Passos,01/16/21 11:23 AM,260.97603839608,10,1565.85623037648,6,33,telegram_whatsapp
06/18/18 11:08 AM,01/14/21 11:23 AM,,paused,4.30.9, Monteiro,AP,Ribeiro De Abreu,01/14/21 11:23 AM,226.182000250555,10,1583.27400175388,7,35,direct
